date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:27	110/110	---MCZ	200	added ('OK')	text/plain	date:Mon,%2021%20Dec%202020%2010:19:30%20GMT	https://myhometheme.net/robots.txt		(from )
13:19:27	272255/272255	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2009:43:57%20GMT	https://myhometheme.net/agent/	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/index.html	(from )
13:19:28	1247168/1247168	---MCZ	200	added ('OK')	text/css	etag:W/%225fdcda6e-131e9c%22	https://myhometheme.net/agent/wp-content/cache/minify/84ed0.css	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/cache/minify/84ed0.css	(from https://myhometheme.net/agent/)
13:19:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2021%20Dec%202020%2010:19:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/www.googletagmanager.com/gtm.15445.delayed	(from https://myhometheme.net/agent/)
13:19:29	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2021%20Dec%202020%2010:19:32%20GMT	https://myhometheme.net/agent/xmlrpc.php	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/xmlrpc.php	(from https://myhometheme.net/agent/)
13:19:29	462631/462631	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fdcd928-71d0d%22	https://myhometheme.net/agent/wp-content/cache/minify/99826.js	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/cache/minify/99826.js	(from https://myhometheme.net/agent/)
13:19:29	3422/3422	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fdcd928-d5f%22	https://myhometheme.net/agent/wp-content/cache/minify/d9e93.js	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/cache/minify/d9e93.js	(from https://myhometheme.net/agent/)
13:19:30	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2021%20Dec%202020%2010:19:33%20GMT	https://www.google.com/recaptcha/api.js?ver=1	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/www.google.com/recaptcha/api68b3.js	(from https://myhometheme.net/agent/)
13:19:30	45989/45989	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2021%20Dec%202020%2010:19:33%20GMT	https://myhometheme.net/agent/feed/	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/feed/index.html	(from https://myhometheme.net/agent/)
13:19:31	13051/13051	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2021%20Dec%202020%2010:19:34%20GMT	https://myhometheme.net/agent/comments/feed/	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/comments/feed/index.html	(from https://myhometheme.net/agent/)
13:19:31	268298/268298	---M-Z	200	added ('OK')	application/json	date:Mon,%2021%20Dec%202020%2010:19:34%20GMT	https://myhometheme.net/agent/wp-json/wp/v2/pages/1866	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-json/wp/v2/pages/1866.json	(from https://myhometheme.net/agent/)
13:19:31	367757/367757	---M-Z	200	added ('OK')	application/json	date:Mon,%2021%20Dec%202020%2010:19:34%20GMT	https://myhometheme.net/agent/wp-json/	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-json/index.html	(from https://myhometheme.net/agent/)
13:19:32	840/840	---M-Z	200	added ('OK')	text/xml	date:Mon,%2021%20Dec%202020%2010:19:35%20GMT	https://myhometheme.net/agent/xmlrpc.php?rsd	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/xmlrpc0db0.php	(from https://myhometheme.net/agent/)
13:19:32	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%22415-57249988c569d-gzip%22	https://myhometheme.net/agent/wp-includes/wlwmanifest.xml	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-includes/wlwmanifest.xml	(from https://myhometheme.net/agent/)
13:19:33	2320/2320	---M-Z	200	added ('OK')	application/json	date:Mon,%2021%20Dec%202020%2010:19:36%20GMT	https://myhometheme.net/agent/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmyhometheme.net%2Fagent%2F	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-json/oembed/1.0/embede224.json	(from https://myhometheme.net/agent/)
13:19:33	2674/2674	---M-Z	200	added ('OK')	text/xml	date:Mon,%2021%20Dec%202020%2010:19:36%20GMT	https://myhometheme.net/agent/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmyhometheme.net%2Fagent%2F&format=xml	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-json/oembed/1.0/embed6400	(from https://myhometheme.net/agent/)
13:19:33	379701/379701	---M--	200	added ('OK')	image/jpeg	etag:%225b604462-5fce2%22	https://myhometheme.net/agent/wp-content/uploads/2018/07/multiple-homes-dark.jpg?id=3367	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/uploads/2018/07/multiple-homes-dark38ed.jpg	(from https://myhometheme.net/agent/)
13:19:34	773/773	---M--	200	added ('OK')	image/png	etag:%225b60443d-31c%22	https://myhometheme.net/agent/wp-content/uploads/2017/03/logo-40-white.png	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/uploads/2017/03/logo-40-white.png	(from https://myhometheme.net/agent/)
13:19:34	276114/276114	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2010:09:34%20GMT	https://myhometheme.net/agent/property-slider/	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/property-slider/index.html	(from https://myhometheme.net/agent/)
13:19:34	124637/124637	---M--	200	added ('OK')	image/jpeg	etag:%225b604453-1f7b8%22	https://myhometheme.net/agent/wp-content/uploads/2018/07/agent-video-new-img.jpg	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/uploads/2018/07/agent-video-new-img.jpg	(from https://myhometheme.net/agent/)
13:19:34	956/956	---M--	200	added ('OK')	image/png	etag:%225b60443d-3d3%22	https://myhometheme.net/agent/wp-content/uploads/2017/03/logo-50-white.png	C:/Users/Hp/Desktop/Osmaniye%20Gayrimenkul/myhometheme.net/agent/wp-content/uploads/2017/03/logo-50-white.png	(from https://myhometheme.net/agent/)
